"FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","DISTANCE",
2019-01-14,"UA",19977,"294",14747,1474703,30559,"SEA",14771,1477104,32457,"SFO","0720","0714",-6.00,10.00,"0724","0927",6.00,"0938","0933",-5.00,0.00,"",0.00,679.00,
2019-01-15,"DL",19790,"1221",14869,1486903,34614,"SLC",12892,1289208,32575,"LAX","0828","0825",-3.00,15.00,"0840","0928",8.00,"0940","0936",-4.00,0.00,"",0.00,590.00,
2019-01-15,"OO",20304,"5318",14771,1477104,32457,"SFO",10800,1080003,32575,"BUR","1605","1601",-4.00,47.00,"1648","1744",4.00,"1725","1748",23.00,0.00,"",0.00,326.00,
2019-01-15,"WN",19393,"509",10800,1080003,32575,"BUR",12889,1288903,32211,"LAS","1700","1731",31.00,16.00,"1747","1832",3.00,"1805","1835",30.00,0.00,"",0.00,223.00,
2019-01-15,"AA",19805,"1366",12889,1288903,32211,"LAS",12892,1289208,32575,"LAX","1106","1124",18.00,19.00,"1143","1238",9.00,"1228","1247",19.00,0.00,"",0.00,236.00,
2019-01-16,"WN",19393,"264",14893,1489302,33192,"SMF",10800,1080003,32575,"BUR","1720","1715",-5.00,13.00,"1728","1828",3.00,"1830","1831",1.00,0.00,"",0.00,358.00,
2019-01-16,"OO",20304,"5316",13476,1347605,34922,"MRY",14771,1477104,32457,"SFO","0620","0608",-12.00,15.00,"0623","0649",6.00,"0710","0655",-15.00,0.00,"",0.00,77.00,
2019-01-16,"UA",19977,"763",11292,1129202,30325,"DEN",14679,1467903,33570,"SAN","1116","1112",-4.00,18.00,"1130","1226",3.00,"1240","1229",-11.00,0.00,"",0.00,853.00,
2019-01-17,"AA",19805,"2455",12892,1289208,32575,"LAX",10721,1072102,30721,"BOS","2130","2133",3.00,13.00,"2146","0539",6.00,"0554","0545",-9.00,0.00,"",0.00,2611.00,
2019-01-17,"OO",20304,"4164",10800,1080003,32575,"BUR",14869,1486903,34614,"SLC","1016","1015",-1.00,19.00,"1034","1307",7.00,"1308","1314",6.00,0.00,"",0.00,574.00,
2019-01-17,"UA",19977,"308",14771,1477104,32457,"SFO",12264,1226402,30852,"IAD","2315","2325",10.00,16.00,"2341","0712",6.00,"0715","0718",3.00,0.00,"",0.00,2419.00,
2019-01-17,"WN",19393,"1014",14908,1490803,32575,"SNA",14831,1483106,32457,"SJC","1040","1057",17.00,8.00,"1105","1211",6.00,"1200","1217",17.00,0.00,"",0.00,342.00,
2019-01-18,"WN",19393,"1588",12889,1288903,32211,"LAS",14893,1489302,33192,"SMF","1735","1854",79.00,17.00,"1911","2020",2.00,"1905","2022",77.00,0.00,"",0.00,397.00,
2019-01-18,"AA",19805,"1599",14908,1490803,32575,"SNA",11298,1129806,30194,"DFW","1429","1425",-4.00,23.00,"1448","1909",11.00,"1928","1920",-8.00,0.00,"",0.00,1205.00,
2019-01-18,"DL",19790,"2651",12892,1289208,32575,"LAX",12889,1288903,32211,"LAS","0900","0859",-1.00,12.00,"0911","0957",21.00,"1024","1018",-6.00,0.00,"",0.00,236.00,
2019-01-18,"UA",19977,"234",13204,1320402,31454,"MCO",12892,1289208,32575,"LAX","1915","1907",-8.00,18.00,"1925","2131",24.00,"2155","2155",0.00,0.00,"",0.00,2218.00,
2019-01-19,"WN",19393,"5571",14893,1489302,33192,"SMF",11292,1129202,30325,"DEN","0600","0557",-3.00,8.00,"0605","0854",5.00,"0920","0859",-21.00,0.00,"",0.00,909.00,
2019-01-19,"B6",20409,"987",10721,1072102,30721,"BOS",12892,1289208,32575,"LAX","2106","",,,"","",,"0052","",,1.00,"B",0.00,2611.00,
2019-01-20,"WN",19393,"4219",12889,1288903,32211,"LAS",14908,1490803,32575,"SNA","0855","0853",-2.00,23.00,"0916","1003",4.00,"1000","1007",7.00,0.00,"",0.00,226.00,
2019-01-20,"OO",20304,"5425",12441,1244102,32441,"JAC",14771,1477104,32457,"SFO","1436","1441",5.00,12.00,"1453","1620",4.00,"1619","1624",5.00,0.00,"",0.00,737.00,
2019-01-20,"DL",19790,"1654",10721,1072102,30721,"BOS",12892,1289208,32575,"LAX","1740","1822",42.00,65.00,"1927","2239",8.00,"2110","2247",97.00,0.00,"",0.00,2611.00,
2019-01-20,"UA",19977,"234",14771,1477104,32457,"SFO",13204,1320402,31454,"MCO","0833","0829",-4.00,24.00,"0853","1613",6.00,"1638","1619",-19.00,0.00,"",0.00,2446.00,
2019-01-21,"AA",19805,"547",14100,1410005,34100,"PHL",14771,1477104,32457,"SFO","1755","1927",92.00,29.00,"1956","2236",12.00,"2125","2248",83.00,0.00,"",0.00,2521.00,
2019-01-21,"WN",19393,"2002",14771,1477104,32457,"SFO",12889,1288903,32211,"LAS","1735","1736",1.00,14.00,"1750","1853",9.00,"1900","1902",2.00,0.00,"",0.00,414.00,
2019-01-21,"OO",20304,"3453",14057,1405702,34057,"PDX",11638,1163807,31638,"FAT","1645","1642",-3.00,13.00,"1655","1810",9.00,"1840","1819",-21.00,0.00,"",0.00,626.00,
2019-01-22,"OO",20304,"3560",14262,1426204,34262,"PSP",14869,1486903,34614,"SLC","1649","1640",-9.00,11.00,"1651","1922",6.00,"1944","1928",-16.00,0.00,"",0.00,541.00,
2019-01-22,"WN",19393,"1474",11292,1129202,30325,"DEN",12892,1289208,32575,"LAX","1530","1643",73.00,9.00,"1652","1736",11.00,"1705","1747",42.00,0.00,"",0.00,862.00,
2019-01-22,"YV",20378,"5859",14107,1410702,30466,"PHX",10800,1080003,32575,"BUR","1116","1110",-6.00,17.00,"1127","1137",1.00,"1158","1138",-20.00,0.00,"",0.00,369.00,
2019-01-22,"DL",19790,"1769",12892,1289208,32575,"LAX",11292,1129202,30325,"DEN","0812","0827",15.00,28.00,"0855","1209",7.00,"1142","1216",34.00,0.00,"",0.00,862.00,
2019-01-23,"AA",19805,"1141",14908,1490803,32575,"SNA",11298,1129806,30194,"DFW","1205","1213",8.00,42.00,"1255","1722",14.00,"1701","1736",35.00,0.00,"",0.00,1205.00,
2019-01-23,"WN",19393,"400",14893,1489302,33192,"SMF",12889,1288903,32211,"LAS","0700","0657",-3.00,11.00,"0708","0809",5.00,"0815","0814",-1.00,0.00,"",0.00,397.00,
2019-01-23,"AA",19805,"486",14908,1490803,32575,"SNA",14107,1410702,30466,"PHX","0951","0948",-3.00,13.00,"1001","1153",3.00,"1220","1156",-24.00,0.00,"",0.00,338.00,
2019-01-24,"AA",19805,"2827",13495,1349505,33495,"MSY",12892,1289208,32575,"LAX","0655","0652",-3.00,16.00,"0708","0928",7.00,"0927","0935",8.00,0.00,"",0.00,1670.00,
2019-01-24,"WN",19393,"778",12889,1288903,32211,"LAS",12892,1289208,32575,"LAX","1515","1533",18.00,7.00,"1540","1624",7.00,"1635","1631",-4.00,0.00,"",0.00,236.00,
2019-01-24,"OO",20304,"3322",12892,1289208,32575,"LAX",11259,1125903,30194,"DAL","1120","1117",-3.00,18.00,"1135","1621",4.00,"1630","1625",-5.00,0.00,"",0.00,1246.00,
2019-01-24,"AS",19930,"440",14057,1405702,34057,"PDX",12892,1289208,32575,"LAX","1830","1837",7.00,16.00,"1853","2042",12.00,"2055","2054",-1.00,0.00,"",0.00,834.00,
2019-01-25,"WN",19393,"2111",11292,1129202,30325,"DEN",13796,1379608,32457,"OAK","1810","1813",3.00,16.00,"1829","1925",5.00,"2005","1930",-35.00,0.00,"",0.00,957.00,
2019-01-25,"OO",20304,"2965",10372,1037205,30372,"ASE",12892,1289208,32575,"LAX","1152","1148",-4.00,22.00,"1210","1255",5.00,"1315","1300",-15.00,0.00,"",0.00,737.00,
2019-01-25,"OO",20304,"4167",14869,1486903,34614,"SLC",10800,1080003,32575,"BUR","1500","1459",-1.00,8.00,"1507","1533",3.00,"1602","1536",-26.00,0.00,"",0.00,574.00,
2019-01-25,"UA",19977,"494",12892,1289208,32575,"LAX",12266,1226603,31453,"IAH","1735","1725",-10.00,14.00,"1739","2218",8.00,"2241","2226",-15.00,0.00,"",0.00,1379.00,
2019-01-26,"UA",19977,"575",14771,1477104,32457,"SFO",10397,1039707,30397,"ATL","1040","1040",0.00,28.00,"1108","1812",4.00,"1823","1816",-7.00,0.00,"",0.00,2139.00,
2019-01-26,"B6",20409,"488",12892,1289208,32575,"LAX",10721,1072102,30721,"BOS","1128","1122",-6.00,18.00,"1140","1955",8.00,"1956","2003",7.00,0.00,"",0.00,2611.00,
2019-01-27,"DL",19790,"1447",14869,1486903,34614,"SLC",14679,1467903,33570,"SAN","1120","1120",0.00,17.00,"1137","1159",8.00,"1213","1207",-6.00,0.00,"",0.00,626.00,
2019-01-27,"WN",19393,"3884",14771,1477104,32457,"SFO",15016,1501606,31123,"STL","1140","1151",11.00,22.00,"1213","1732",3.00,"1730","1735",5.00,0.00,"",0.00,1735.00,
2019-01-27,"UA",19977,"2331",14679,1467903,33570,"SAN",14771,1477104,32457,"SFO","1750","1741",-9.00,23.00,"1804","1910",5.00,"1928","1915",-13.00,0.00,"",0.00,447.00,
2019-01-27,"OO",20304,"3319",14747,1474703,30559,"SEA",11638,1163807,31638,"FAT","0945","0942",-3.00,14.00,"0956","1134",6.00,"1155","1140",-15.00,0.00,"",0.00,748.00,
2019-01-28,"OO",20304,"5850",14771,1477104,32457,"SFO",13476,1347605,34922,"MRY","2230","2222",-8.00,16.00,"2238","2256",4.00,"2320","2300",-20.00,0.00,"",0.00,77.00,
2019-01-28,"WN",19393,"1894",13796,1379608,32457,"OAK",14107,1410702,30466,"PHX","1545","1545",0.00,10.00,"1555","1827",10.00,"1840","1837",-3.00,0.00,"",0.00,646.00,
2019-01-28,"AS",19930,"1357",10721,1072102,30721,"BOS",14771,1477104,32457,"SFO","1700","1648",-12.00,19.00,"1707","2016",5.00,"2100","2021",-39.00,0.00,"",0.00,2704.00,
2019-01-28,"UA",19977,"324",12892,1289208,32575,"LAX",12264,1226402,30852,"IAD","0820","0815",-5.00,34.00,"0849","1607",4.00,"1610","1611",1.00,0.00,"",0.00,2288.00,
2019-01-29,"WN",19393,"1425",14107,1410702,30466,"PHX",13891,1389101,32575,"ONT","1600","1603",3.00,11.00,"1614","1603",3.00,"1615","1606",-9.00,0.00,"",0.00,325.00,
2019-01-29,"DL",19790,"1138",14893,1489302,33192,"SMF",14869,1486903,34614,"SLC","0600","0552",-8.00,11.00,"0603","0815",27.00,"0837","0842",5.00,0.00,"",0.00,532.00,
2019-01-29,"OO",20304,"5180",10423,1042302,30423,"AUS",14771,1477104,32457,"SFO","1055","1048",-7.00,17.00,"1105","1253",6.00,"1310","1259",-11.00,0.00,"",0.00,1504.00,
2019-01-30,"AA",19805,"1544",14893,1489302,33192,"SMF",11298,1129806,30194,"DFW","0600","0545",-15.00,18.00,"0603","1048",10.00,"1127","1058",-29.00,0.00,"",0.00,1431.00,
2019-01-30,"WN",19393,"765",14869,1486903,34614,"SLC",13796,1379608,32457,"OAK","2000","2002",2.00,9.00,"2011","2033",5.00,"2100","2038",-22.00,0.00,"",0.00,588.00,
2019-01-30,"AS",19930,"1141",14100,1410005,34100,"PHL",14771,1477104,32457,"SFO","1850","1843",-7.00,17.00,"1900","2142",8.00,"2235","2150",-45.00,0.00,"",0.00,2521.00,
2019-01-30,"UA",19977,"2411",11618,1161802,31703,"EWR",14262,1426204,34262,"PSP","1900","1915",15.00,24.00,"1939","2157",9.00,"2208","2206",-2.00,0.00,"",0.00,2358.00,
2019-01-31,"WN",19393,"275",12889,1288903,32211,"LAS",14771,1477104,32457,"SFO","0615","0626",11.00,11.00,"0637","0751",6.00,"0750","0757",7.00,0.00,"",0.00,414.00,
2019-01-31,"DL",19790,"769",10397,1039707,30397,"ATL",14771,1477104,32457,"SFO","1448","1506",18.00,18.00,"1524","1649",7.00,"1721","1656",-25.00,0.00,"",0.00,2139.00,
2019-01-31,"OO",20304,"3196",14107,1410702,30466,"PHX",12892,1289208,32575,"LAX","0655","0709",14.00,36.00,"0745","0755",7.00,"0729","0802",33.00,0.00,"",0.00,370.00,
